,id,tackles_r_count,offsides_r_count,total_shots_l,yellow_cards_r_count,shots_on_target_l,corners_l_count,goals_r_count,shots_on_target_r,passes_r,tackles_l_count,possession_l,goals_l_count,corners_r_count,passes_l,yellow_cards_l_count,free_kicks_r_count,free_kicks_l_count,fouls_r_count,offsides_l_count,ball_on_side_l,outlier,score
31,100031,31,0,18,0,27,1,0,3,198,13,71,3,0,682,1,7,4,4,1,44,1,-1.011006308726012
32,100032,31,1,12,0,19,1,5,2,248,20,62,0,2,665,0,5,7,3,0,62,-1,-1.5011902206579573
33,100033,29,0,5,0,6,2,1,0,184,20,71,1,0,720,1,7,4,2,1,49,1,-0.9828463295486969
34,100035,28,0,40,0,59,2,0,0,286,28,59,0,1,731,0,10,3,3,0,46,1,-1.0701199304016364
35,100036,33,0,13,0,19,2,2,0,248,19,65,3,0,729,0,10,2,1,1,48,1,-0.9936934722572258
36,100037,47,0,3,0,14,2,1,6,225,27,68,1,0,862,0,9,0,0,0,55,1,-1.075237643604244
37,100038,14,0,29,0,20,4,1,0,245,13,69,5,0,852,0,8,1,1,1,43,1,-1.1744561236129296
38,100039,21,0,12,0,32,0,0,17,308,30,66,0,0,641,1,8,3,1,0,64,1,-1.1043609402955967
39,100040,23,0,23,0,36,2,0,1,279,19,67,4,0,908,0,10,2,1,0,45,1,-1.0089895882188162
40,100041,24,0,9,0,14,1,2,1,227,33,61,2,0,838,0,7,0,0,0,63,1,-1.031447744332835
41,100042,28,0,13,0,15,1,2,3,268,18,73,1,0,889,0,5,2,1,0,51,1,-0.9780933390216705
42,100043,22,0,14,0,28,2,0,7,263,25,62,2,0,733,1,7,3,2,0,45,1,-0.9762152747295435
43,100044,23,1,28,0,24,2,0,11,297,22,62,1,0,739,1,9,3,2,0,51,1,-1.0908519112200652
44,100045,36,1,4,1,37,1,3,9,199,18,76,2,0,985,0,4,3,3,0,51,1,-1.4057934136553702
45,100046,21,0,22,0,70,2,0,0,238,21,68,1,0,809,0,9,3,3,2,38,1,-1.069725939697878
46,100047,30,0,2,0,30,1,1,0,286,20,66,0,0,849,0,11,5,4,1,60,1,-1.003417691830046
47,100048,25,0,20,0,23,2,1,0,321,30,59,1,0,601,2,11,5,3,1,51,1,-1.0501064717504152
48,100049,29,0,8,0,7,2,1,3,166,17,70,0,0,792,1,9,4,2,1,49,1,-0.9836490184100524
49,100050,28,0,20,0,21,1,1,9,220,20,67,1,0,782,1,15,1,1,2,47,1,-1.0709982301614955
50,100051,37,0,41,0,75,2,1,5,243,19,66,2,0,672,0,6,4,4,0,35,1,-1.102256839240687
51,100052,24,0,1,0,23,0,0,0,401,37,56,2,0,712,1,10,0,0,0,52,1,-1.0933698998007522
52,100053,27,0,47,0,28,0,1,7,320,29,53,2,0,704,2,11,1,1,0,50,1,-1.1033539043816625
53,100054,23,1,12,0,21,1,1,11,358,29,55,1,0,692,0,17,5,3,1,67,1,-1.1828085472705872
